B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
1369.8191,1561.9429,1721.3619,1628.3239,1958.9143,3097.457,3504.2761,3639.0286,3682.1333,2666.3713,2026.4286
1373.8208,1557.4811,1717.934,1624.8585,1954.066,3094.1133,3498.453,3640.3396,3677.2925,2667.3584,2026.2075
1365.6476,1564.1809,1729.8381,1629.8,1965.762,3145.4475,3571.819,3720.9714,3750.543,2675.7524,2025.6476
1378.6168,1550.0281,1709.6168,1617.8318,1946.1495,3070.7476,3468.5234,3628.6729,3648.8225,2657.8037,2021.8037
1360.0447,1551.0625,1727.4464,1612.2142,1963.1161,3231.1875,3694.1428,3876.5,3880.9731,2692.9106,2015.7411
1383.0468,1550.9346,1711.9719,1620.8224,1948.1495,3063.757,3459.9253,3624.4111,3637.271,2663.243,2026.785
1354.8785,1549.0841,1732.5327,1609.8131,1974.4019,3290.5046,3781.4207,3986.9534,3975.5515,2712.8972,2019.1215
1382.4685,1546.6577,1708.3784,1610.5586,1943.7838,3086.4775,3494.2612,3670.3423,3672.2073,2663.7117,2016.7028
1342.8131,1537.8972,1729.3738,1590.4579,1971.2897,3406.8506,3943.5793,4152.972,4157.374,2745.9065,2008.8691
1330.9166,1491.8704,1694.4907,1529.287,1964.7593,3556.3425,4139.2593,4358.648,4377.657,2786.1853,1997.0278
1377.762,1525.1238,1687.1714,1583.8477,1928.1333,3104.457,3525.4666,3707.1428,3700.495,2650.3142,1994.7333
1315.156,1431.3945,1657.9175,1456.2568,1961.4128,3697.321,4327.431,4609.211,4578.945,2829.8716,1987.321
1301.7314,1389.2593,1642.963,1397.4907,1973.787,3867.8057,4557.4443,4860.574,4823.8794,2888.25,1987.75
1359.066,1463.6321,1656.1792,1536.9434,1951.0566,3315.0188,3823.5095,4046.9434,4032.0,2748.047,1975.0944
1289.0762,1370.5619,1651.4,1370.5809,1992.0952,4003.581,4738.1143,5045.619,5007.943,2937.495,1994.2667
1282.8396,1365.1792,1669.0283,1361.717,2007.585,4069.4058,4822.604,5166.0376,5084.0757,2958.5,1999.7452
1350.0275,1443.0275,1646.3395,1528.321,1966.578,3412.1926,3956.6238,4189.78,4179.9634,2795.1008,1967.055
1284.762,1373.9714,1686.7142,1374.4,2026.2858,4081.819,4815.924,5168.7427,5073.619,2973.476,2016.6095
1291.1122,1408.6636,1711.4205,1416.8505,2037.7103,4012.1216,4716.682,5010.542,4973.6167,2977.3179,2039.6915
1328.4403,1458.9633,1673.899,1594.633,2034.9175,3447.688,4002.945,4203.358,4235.3486,2891.6514,2012.5321
1302.6542,1424.9532,1716.8505,1442.4299,2034.8224,3894.3457,4576.028,4853.1587,4827.2803,2972.9626,2059.8972
1315.7264,1434.8396,1715.8396,1458.0,2031.5754,3820.5,4460.34,4725.321,4713.679,2980.566,2080.2546
1328.6666,1436.2433,1707.8829,1460.8379,2022.0901,3760.6216,4369.2974,4657.4956,4621.0903,2995.7026,2093.0
1334.4623,1436.8773,1700.566,1463.2264,2023.4434,3737.0095,4338.604,4646.849,4603.34,3041.17,2114.217
1319.1122,1444.3551,1646.2523,1551.5514,1990.4954,3434.9534,4001.6821,4196.6167,4225.776,2834.159,1988.271
1340.4286,1431.7142,1695.6285,1464.7905,2040.2858,3824.9143,4480.2383,4758.7427,4761.219,3137.762,2137.781
1318.25,1449.5093,1653.8982,1546.0648,1971.8055,3448.5278,4040.2778,4256.7964,4263.315,2801.787,1973.2963
1341.9358,1418.3945,1679.1743,1448.9908,2035.477,3841.0276,4492.3394,4825.89,4775.624,3130.642,2128.688
1342.321,1436.9082,1691.5504,1464.679,2037.5138,3831.578,4495.0366,4774.6787,4792.8257,3114.0276,2118.2751
1342.381,1434.8762,1693.019,1464.7238,2034.9048,3795.6572,4473.5522,4760.495,4756.533,3076.4285,2101.0667
1317.5143,1457.1619,1673.2095,1508.5428,1951.4476,3623.5906,4331.7905,4542.1523,4551.095,2817.3523,1961.619
1333.5094,1438.7452,1691.2358,1468.5283,2038.7075,3711.8396,4347.566,4649.245,4642.7075,3010.3208,2077.7358
1328.0468,1432.4113,1672.4579,1464.5981,2023.785,3624.57,4254.028,4531.3643,4555.701,2972.0935,2058.0654
1320.4095,1421.0095,1649.9143,1451.9619,2003.7905,3567.219,4158.1714,4452.476,4465.7046,2948.9048,2050.2
1311.9238,1464.1904,1701.1809,1513.981,1979.3905,3727.1619,4443.3145,4662.952,4672.467,2884.3428,1985.2667
1313.6455,1428.7,1644.9636,1467.7727,1991.7091,3502.6545,4083.0454,4321.4546,4394.5547,2920.9727,2040.6182
1305.8131,1453.1495,1703.7103,1503.8131,1980.4673,3767.9812,4521.4395,4745.495,4754.4766,2925.0093,1994.215
1305.5566,1425.8773,1625.217,1463.7452,1947.3302,3404.1604,3936.7737,4173.34,4246.132,2822.8113,1994.849
1301.6381,1420.5524,1606.1714,1451.5809,1913.1238,3376.8477,3902.1143,4154.0,4193.543,2780.781,1977.2285
1300.3889,1447.3796,1703.1296,1502.8611,1969.713,3743.8333,4516.852,4754.963,4728.472,2925.3704,1990.7037
1298.3392,1414.0536,1588.75,1442.6875,1884.9553,3362.3125,3896.884,4153.2856,4169.527,2758.8481,1967.4375
1275.8868,1364.1887,1531.1792,1385.651,1806.585,3374.3208,3987.1416,4273.8115,4224.9907,2711.33,1914.3208
1263.3868,1328.651,1489.7264,1335.5,1770.1792,3412.066,4078.2642,4381.736,4316.5474,2703.4246,1882.849
1293.2909,1424.2909,1669.4364,1470.6545,1920.7181,3729.9727,4555.0547,4760.0728,4748.518,2878.0728,1950.7545
1243.3645,1301.9065,1468.1309,1300.7477,1746.5233,3515.243,4294.916,4626.6543,4545.215,2730.3926,1851.1776
1237.0566,1287.6887,1457.8773,1284.934,1740.3208,3571.802,4376.9526,4710.094,4643.802,2747.368,1841.7548
1236.2593,1278.9445,1448.0463,1270.9073,1741.213,3607.2222,4411.8613,4739.7036,4659.4814,2764.7964,1843.8148
1285.7944,1393.3926,1636.2617,1438.271,1876.9253,3758.112,4665.299,4865.589,4836.8877,2810.8225,1897.5514
1238.4113,1284.4205,1457.6729,1275.1682,1746.6449,3602.3738,4381.729,4726.729,4613.4395,2771.6262,1852.8224
1242.9238,1292.0571,1468.0571,1280.8667,1750.8477,3569.543,4323.5522,4661.105,4546.781,2767.038,1857.8286
1282.8427,1384.0093,1623.9073,1419.75,1860.5463,3801.139,4765.824,4999.0557,4948.0835,2795.9814,1874.5278
1250.4722,1299.3148,1467.7407,1291.5741,1768.4907,3528.5186,4222.5186,4467.148,4471.4165,2779.6482,1878.713
1264.9346,1309.3926,1479.5981,1307.8318,1791.2617,3490.9065,4128.6167,4388.2803,4399.4673,2816.6448,1917.0841
1278.4434,1390.4246,1626.1038,1420.3019,1854.4529,3827.783,4824.3774,5062.132,5015.302,2793.066,1866.9434
1285.6792,1344.0566,1518.283,1367.7358,1850.349,3475.7454,4052.802,4309.4526,4347.5757,2894.198,1988.217
1304.3458,1369.271,1556.6168,1428.785,1910.2242,3487.701,4040.6074,4335.3457,4349.953,2982.841,2063.9812
1278.781,1402.5048,1628.6666,1423.8191,1853.6571,3838.038,4838.905,5073.562,5027.1333,2796.2856,1868.7047
