B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
1248.8251,1334.9159,1554.5948,1360.3296,1896.3672,3738.9858,4453.133,4757.127,4758.97,3003.8647,1982.7068
1248.9591,1335.0741,1554.825,1360.6029,1896.7305,3739.1758,4453.2075,4757.2983,4759.093,3004.5437,1983.2352
1248.7036,1334.7628,1554.3951,1360.083,1896.0524,3738.825,4453.052,4757.0454,4758.871,3003.2703,1982.2407
1249.0876,1335.2197,1555.0603,1360.8525,1897.0952,3739.397,4453.345,4757.5513,4759.274,3005.1963,1983.7444
1248.6064,1334.6377,1554.2472,1359.8597,1895.8171,3738.729,4453.037,4757.1445,4758.8145,3002.765,1981.8457
1249.2333,1335.3716,1555.2921,1361.1111,1897.5087,3739.699,4453.5005,4757.6167,4759.4907,3005.9497,1984.3152
1248.4973,1334.4932,1554.0608,1359.6102,1895.4955,3738.5642,4452.953,4757.1123,4758.7197,3002.1428,1981.3591
1249.3958,1335.5743,1555.5604,1361.4287,1897.9617,3739.8853,4453.4814,4757.562,4759.5654,3006.7388,1984.9386
1248.3684,1334.3015,1553.7955,1359.245,1895.1127,3738.4136,4452.898,4757.1133,4758.634,3001.432,1980.7839
1248.2343,1334.0802,1553.499,1358.8551,1894.695,3738.197,4452.7993,4757.0713,4758.479,3000.6145,1980.1425
1249.5785,1335.7831,1555.8672,1361.7856,1898.4965,3740.017,4453.326,4757.4927,4759.491,3007.645,1985.6802
1248.0802,1333.8445,1553.1617,1358.4354,1894.1932,3737.7727,4452.406,4756.6836,4758.0103,2999.6274,1979.4034
1247.9102,1333.6261,1552.8359,1358.0067,1893.6869,3737.3381,4451.917,4756.229,4757.473,2998.6067,1978.6431
1249.9569,1336.3019,1556.5797,1362.662,1899.6255,3739.7422,4452.2886,4756.6924,4758.5474,3009.3733,1987.2593
1247.7266,1333.4205,1552.5248,1357.5822,1893.1549,3736.8704,4451.3623,4755.7544,4756.861,2997.4844,1977.8091
1247.4995,1333.1405,1552.1271,1357.044,1892.4934,3736.4165,4450.896,4755.205,4756.34,2996.1917,1976.7976
1250.1353,1336.5769,1556.9253,1363.0925,1900.1694,3739.3381,4451.4385,4755.6553,4757.7065,3010.0886,1987.9916
1247.2621,1332.8008,1551.6565,1356.3522,1891.7013,3736.0146,4450.612,4754.9995,4756.0337,2994.6328,1975.5813
1247.0046,1332.3802,1551.093,1355.5273,1890.7915,3735.6567,4450.3774,4754.722,4755.7163,2992.8545,1974.1931
1250.5637,1337.157,1557.6035,1364.0055,1901.2274,3738.3489,4449.3535,4753.375,4755.7236,3011.4644,1989.4814
1246.7052,1331.9436,1550.4984,1354.645,1889.7528,3735.1917,4450.0386,4754.429,4755.2705,2990.8516,1972.653
1246.3708,1331.457,1549.8579,1353.6847,1888.6871,3734.92,4449.9204,4754.269,4755.0684,2988.7625,1970.9977
1246.0034,1330.9506,1549.2438,1352.6876,1887.6146,3734.8313,4450.1284,4754.516,4755.15,2986.6028,1969.2609
1245.6149,1330.4086,1548.5629,1351.6335,1886.5077,3735.005,4450.676,4755.0137,4755.573,2984.3616,1967.4131
1250.9705,1337.504,1558.034,1364.5624,1902.0256,3737.6387,4447.7676,4751.61,4754.26,3012.9524,1990.8291
1244.8256,1329.2128,1547.0592,1349.3005,1884.008,3735.1287,4451.5835,4755.849,4756.264,2979.3035,1963.336
1251.1675,1337.6788,1558.2522,1364.8156,1902.4016,3737.36,4447.0693,4750.9507,4753.648,3013.6775,1991.4722
1244.4167,1328.5992,1546.2516,1348.0703,1882.6519,3735.0356,4451.9214,4756.176,4756.442,2976.5825,1961.2068
1244.0262,1328.0931,1545.5859,1347.0233,1881.4795,3735.0337,4452.3423,4756.6743,4756.7065,2974.1633,1959.2966
1243.6759,1327.5975,1544.9279,1346.0352,1880.4309,3735.0864,4452.8354,4757.102,4757.0664,2972.0325,1957.5967
1251.5721,1338.137,1558.9008,1365.4741,1903.3737,3737.2744,4446.5347,4750.411,4753.0776,3015.5088,1993.026
1243.0083,1326.7189,1543.7341,1344.268,1878.3945,3735.1729,4453.7285,4757.95,4757.6533,2967.8591,1954.2646
1242.7108,1326.3864,1543.272,1343.568,1877.5414,3735.1238,4454.016,4758.223,4757.7373,2966.022,1952.8278
1242.4303,1326.0675,1542.8646,1342.9542,1876.879,3735.095,4454.194,4758.2476,4757.7866,2964.5132,1951.6223
1251.7932,1338.5114,1559.3833,1365.96,1903.9657,3737.2573,4446.183,4750.073,4752.783,3016.5276,1993.9276
1242.1786,1325.7712,1542.518,1342.3912,1876.2954,3735.122,4454.4165,4758.5483,4757.956,2963.1433,1950.5029
1252.0076,1338.9645,1559.9445,1366.5992,1904.6208,3737.0518,4445.575,4749.336,4752.2686,3017.6138,1994.8843
1241.7195,1325.1818,1541.8518,1341.3698,1875.4073,3735.6792,4455.3667,4759.7554,4758.891,2961.0337,1948.6326
1241.4972,1324.8943,1541.5232,1340.9257,1874.9938,3735.8083,4455.704,4760.103,4759.1978,2960.0576,1947.7833
1252.2452,1339.3108,1560.3923,1367.0975,1905.1831,3736.676,4444.854,4748.6187,4751.5728,3018.6238,1995.7792
1241.3076,1324.684,1541.2966,1340.6377,1874.7609,3736.0217,4456.022,4760.408,4759.5137,2959.3967,1947.1917
1240.9283,1324.2524,1540.921,1340.0671,1874.3903,3736.519,4456.919,4761.511,4760.32,2958.407,1946.2177
1240.7357,1324.0734,1540.7797,1339.8226,1874.2395,3736.8606,4457.4604,4762.073,4760.804,2958.0115,1945.794
1252.6528,1339.7668,1560.9869,1367.7853,1906.0366,3736.2117,4443.6504,4747.294,4750.4395,3020.1943,1997.163
1240.4034,1323.6586,1540.429,1339.2551,1873.8756,3737.61,4458.7207,4763.474,4762.02,2957.1797,1944.9059
1240.2294,1323.4318,1540.2478,1338.9348,1873.6971,3738.1506,4459.623,4764.42,4762.8447,2956.7354,1944.4298
1240.037,1323.2445,1540.1238,1338.6418,1873.5256,3738.7761,4460.539,4765.548,4763.672,2956.2664,1943.9313
1253.0614,1340.2854,1561.7162,1368.5671,1907.0222,3736.0317,4442.782,4746.517,4749.602,3021.7358,1998.6046
1239.843,1322.9983,1539.9388,1338.2961,1873.3749,3739.3516,4461.419,4766.4985,4764.461,2955.8008,1943.4391
1239.6517,1322.7277,1539.7347,1337.934,1873.2671,3739.9485,4462.26,4767.311,4765.2456,2955.3953,1943.0144
