,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
0,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
1,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
2,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
3,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
4,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
5,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
6,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
7,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
8,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
9,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
10,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
11,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
12,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
13,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
14,1390.3375,1462.2264,1658.6572,1502.0266,1947.4878,3562.801,4160.149,4397.47,4413.207,2915.9785,2036.255
