,features,moran's I,pvalue
0,Unnamed: 0,0.99999856791978,0.001
1,Longitude,1.0000025158960886,0.001
2,Latitude,0.9999982185696361,0.001
3,UHI Index,0.9408268547072678,0.001
4,B01,0.8942287980832999,0.001
5,B02,0.6556663030759498,0.001
6,B03,0.6495893622479313,0.001
7,B04,0.6749085167080296,0.001
8,B05,0.7102430173913625,0.001
9,B06,0.5660712502746857,0.001
10,B07,0.6043817351211083,0.001
11,B08,0.5581241041907199,0.001
12,B8A,0.6385415284903992,0.001
13,B11,0.6329137034029515,0.001
14,B12,0.756834969527096,0.001
15,NDVI,0.6814018744934657,0.001
16,NDBI,0.5619196903487688,0.001
17,NDWI,0.6767289024031069,0.001
18,B11/B12,0.7909226212108522,0.001
19,VWI,0.5565572674206901,0.001
20,Building_Index,0.7909226212108522,0.001
21,Soil_Ratio,0.3368870023226158,0.001
22,Vegetation_Health,0.6397781764514372,0.001
23,NDVI_NDBI,0.5863529531284933,0.001
24,NDVI_NDWI,0.6567226525052449,0.001
25,NDBI_NDWI,0.586512178942711,0.001
26,B08_NDVI,0.6312625416164394,0.001
