B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
1312.4415,1415.6799,1623.7781,1448.4089,1921.8387,3558.778,4159.584,4417.0933,4405.9604,2832.1611,1965.7687
1314.5397,1420.979,1630.0327,1460.7056,1933.3224,3553.3364,4152.339,4401.6685,4400.3716,2852.1006,1980.3551
1310.0677,1410.4836,1618.7126,1436.8622,1912.9276,3570.236,4175.797,4436.916,4419.2056,2814.3062,1952.3085
1316.4708,1427.8135,1637.8416,1475.4313,1943.0349,3542.9185,4137.6455,4382.7646,4388.205,2863.2656,1990.7622
1308.3698,1408.2744,1617.4558,1430.007,1911.4697,3583.0488,4193.865,4449.0884,4434.637,2804.5186,1945.4
1318.6409,1433.8545,1645.5681,1491.1244,1959.0986,3529.0845,4111.0024,4357.587,4364.5703,2881.432,2007.4038
1306.9694,1406.8798,1616.0944,1425.2548,1908.0944,3589.08,4205.42,4446.255,4443.67,2790.0212,1936.2311
1320.0326,1441.0488,1654.9628,1508.0419,1977.1628,3521.9045,4090.7512,4341.2466,4349.1094,2902.986,2024.9604
1304.8917,1400.9435,1618.6847,1418.4305,1915.2329,3620.1177,4242.374,4487.873,4479.3315,2788.2495,1933.8212
1301.4023,1394.5419,1618.5139,1409.6744,1920.2744,3666.0164,4301.3955,4546.986,4534.9697,2790.0535,1930.8209
1321.4475,1446.8672,1662.1328,1525.8765,1990.3496,3501.5593,4058.0374,4316.406,4317.364,2918.3496,2040.296
1297.944,1397.0374,1628.5514,1411.1636,1931.6168,3714.4812,4361.547,4613.215,4593.8667,2802.8926,1935.8528
1295.1783,1401.8334,1641.1244,1416.047,1947.8098,3764.8357,4434.6714,4673.601,4669.995,2829.5798,1948.6104
1322.3756,1462.3052,1675.4835,1567.108,2018.4835,3443.7253,3981.2324,4215.657,4243.1387,2955.23,2078.8733
1294.4778,1401.2343,1647.1007,1415.2458,1958.7377,3805.274,4494.3,4737.9253,4733.7305,2854.6746,1960.1499
1293.9673,1397.5537,1651.4346,1409.3738,1971.0887,3868.7803,4567.4136,4810.1587,4814.047,2894.014,1976.1191
1321.1495,1465.4205,1677.7103,1573.9767,2025.3411,3439.0303,3980.9019,4215.9907,4245.432,2970.4321,2091.0352
1294.5153,1381.2542,1644.8917,1391.7177,1981.28,3920.793,4621.1836,4893.515,4877.612,2933.9836,1992.7529
1295.9368,1385.4918,1656.2646,1396.3748,1996.6183,3944.2717,4649.464,4931.171,4908.068,2968.534,2013.8455
1315.1831,1443.9178,1664.6292,1551.2465,2018.2958,3511.878,4100.0024,4355.2114,4367.7935,2993.6902,2080.8286
1300.0541,1405.6494,1680.7106,1418.5035,2021.56,3971.4824,4680.419,4947.054,4941.4,3018.932,2045.9529
1306.8738,1419.9696,1699.5117,1434.2173,2039.4673,3991.3342,4688.9414,4949.224,4949.7476,3055.5793,2069.7756
1315.9977,1429.4408,1714.6682,1446.5059,2059.2854,3997.102,4687.886,4976.6543,4948.74,3088.232,2094.8445
1324.7032,1439.1705,1719.9042,1458.5514,2063.0793,3963.3901,4642.0586,4922.9907,4904.0,3096.5818,2107.0889
1303.8004,1418.176,1648.5516,1514.1902,2005.7723,3639.237,4300.343,4571.066,4571.9624,3008.561,2051.2534
1339.2991,1459.5468,1732.7406,1486.5608,2074.2102,3879.6938,4521.589,4800.9067,4786.479,3117.5957,2134.883
1296.9674,1413.5594,1651.1189,1508.8718,2003.4639,3686.3542,4375.284,4656.8066,4645.636,3012.9207,2041.5477
1341.3483,1463.4424,1731.0188,1491.4777,2076.859,3857.8352,4485.308,4753.4023,4760.1978,3133.647,2143.3105
1338.662,1463.1573,1726.9005,1491.6343,2075.2708,3834.8982,4460.6504,4733.551,4746.118,3148.905,2147.2153
